=,&equals;
\v{z},&zcaron;
\v{Z},&Zcaron;
\.{z},&zdot;
\.{Z},&Zdot;
\'{},&acute;
\u{},&breve;
\v{},&caron;
\c{},&cedil;
\^{},&circ;
\H{},&dblac;
"\""{}",&die;
\.{},&dot;
\'{},&grave;
\={},&macr;
\k{},&ogon;
\r{},&ring;
\~{},&tilde;
"\""{}",&uml;
\cyr{a},&acy;
\cyr{A},&Acy;
\cyr{b},&bcy;
\cyr{B},&Bcy;
\cyr{v},&vcy;
\cyr{V},&Vcy;
\cyr{g},&gcy;
\cyr{G},&Gcy;
\cyr{d},&dcy;
\cyr{D},&Dcy;
\cyr{e},&iecy;
\cyr{E},&IEcy;
"\cyr{\""e}",&iocy;
"\cyr{\""E}",&IOcy;
\cyr{zh},&zhcy;
\cyr{Zh},&ZHcy;
\cyr{z},&zcy;
\cyr{Z},&Zcy;
\cyr{i},&icy;
\cyr{I},&Icy;
\cyr{\u\i},&jcy;
\cyr{\u{I}},&Jcy;
\cyr{k},&kcy;
\cyr{K},&Kcy;
\cyr{l},&lcy;
\cyr{L},&Lcy;
\cyr{m},&mcy;
\cyr{M},&Mcy;
\cyr{n},&ncy;
\cyr{N},&Ncy;
\cyr{o},&ocy;
\cyr{O},&Ocy;
\cyr{p},&pcy;
\cyr{P},&Pcy;
\cyr{r},&rcy;
\cyr{R},&Rcy;
\cyr{s},&scy;
\cyr{S},&Scy;
\cyr{t},&tcy;
\cyr{T},&Tcy;
\cyr{u},&ucy;
\cyr{U},&Ucy;
\cyr{f},&fcy;
\cyr{F},&Fcy;
\cyr{kh},&khcy;
\cyr{Kh},&KHcy;
\cyr{ts},&tscy;
\cyr{Ts},&TScy;
\cyr{ch},&chcy;
\cyr{Ch},&CHcy;
\cyr{sh},&shcy;
\cyr{Sh},&SHcy;
\cyr{shch},&shchcy;
\cyr{Shch},&SHCHcy;
\cyr{\cdprime},&hardcy;
\cyr{\Cdprime},&HARDcy;
\cyr{y},&ycy;
\cyr{Y},&Ycy;
\cyr{\cprime},&softcy;
\cyr{\Cprime},&SOFTcy;
\cyr{\'e},&ecy;
\cyr{\'E},&Ecy;
\cyr{yu},&yucy;
\cyr{Yu},&YUcy;
\cyr{ya},&yacy;
\cyr{Ya},&YAcy;
\cyr{N0},&numero;
\cyr{dj},&djcy;
\cyr{Dj},&DJcy;
\cyr{\'g},&gjcy;
\cyr{\'G},&GJcy;
\cyr{\=e},&jukcy;
\cyr{\=E},&Jukcy;
\cyr{\dz},&dscy;
\cyr{\Dz},&DScy;
\cyr{\=\i},&iukcy;
\cyr{\=I},&Iukcy;
"\cyr{\""\i}",&yicy;
"\cyr{\""I}",&YIcy;
\cyr{j},&jsercy;
\cyr{J},&Jsercy;
\cyr{lj},&ljcy;
\cyr{Lj},&LJcy;
\cyr{nj},&njcy;
\cyr{Nj},&NJcy;
\cyr{\'c},&tshcy;
\cyr{\'C},&TSHcy;
\cyr{\'k},&kjcy;
\cyr{\'K},&KJcy;
\cyr{\u{u}},&ubrcy;
\cyr{\u{U}},&Ubrcy;
\cyr{\dzh},&dzcy;
\cyr{\Dzh},&DZcy;
\mgreek{a},&agr;
\mgreek{A},&Agr;
\mgreek{b},&bgr;
\mgreek{B},&Bgr;
\mgreek{g},&ggr;
\mgreek{G},&Ggr;
\mgreek{d},&dgr;
\mgreek{D},&Dgr;
\mgreek{e},&egr;
\mgreek{E},&Egr;
\mgreek{z},&zgr;
\mgreek{Z},&Zgr;
\mgreek{h},&eegr;
\mgreek{H},&EEgr;
\mgreek{j},&thgr;
\mgreek{J},&THgr;
\mgreek{i},&igr;
\mgreek{I},&Igr;
